epoch,train_loss,valid_loss,accuracy,macro_f1,time
-1,,,,,2024-07-04 14:31:18.395294
0,0.09172216802835464,0.2228432148694992,0.7971380352973938,0.7925805150317826,0:37
1,0.07751328498125076,0.09090195596218109,0.877525269985199,0.876965074104975,0:36
2,0.07110907882452011,0.14916633069515228,0.8413299918174744,0.8406389364155413,0:34
3,0.07225986570119858,0.5019432902336121,0.8636363744735718,0.8629381442786579,0:34
4,0.0737132653594017,1.6305670738220215,0.8367003202438354,0.8353207257374543,0:34
5,0.08108893036842346,0.13574223220348358,0.8888888955116272,0.8884400331805068,0:36
6,0.08304222673177719,0.13284386694431305,0.8421717286109924,0.8413951201194926,0:34
7,0.0899592936038971,3.9937965869903564,0.6574074029922485,0.6545308168037769,0:34
8,0.0880177766084671,0.17838245630264282,0.8670033812522888,0.8654376375140391,0:34
9,0.12428425252437592,7900.17431640625,0.625,0.5826201111966206,0:34
10,0.3137429654598236,546.4741821289062,0.5723905563354492,0.5187957734049904,0:34
11,0.19491875171661377,0.10632295906543732,0.8118686676025391,0.811049913059474,0:34
12,0.14472366869449615,19.3873348236084,0.47138047218322754,0.3214201093147475,0:34
13,0.15193504095077515,0.121769018471241,0.8059764504432678,0.8009849994665496,0:34
14,0.327312171459198,17461.505859375,0.46843433380126953,0.44051595122523185,0:34
15,0.3609333336353302,0.1576857715845108,0.7432659864425659,0.7379141878963149,0:34
16,0.2394685447216034,0.11313784867525101,0.7988215684890747,0.7972260893946406,0:33
17,0.20088189840316772,0.2068934142589569,0.7899831533432007,0.7866920162589471,0:33
18,0.16495133936405182,4.457062721252441,0.4705387353897095,0.3196691305889336,0:34
19,0.14515851438045502,0.10746260732412338,0.816077470779419,0.8138491566570203,0:34
20,0.1357855349779129,0.2164231389760971,0.4705387353897095,0.3196691305889336,0:34
21,0.14256294071674347,0.13627034425735474,0.7697811722755432,0.76605801164979,0:34
22,0.1325090527534485,0.09551389515399933,0.8362794518470764,0.8354943521309627,0:34
23,0.11590848118066788,0.08723261207342148,0.8476430773735046,0.8460862459465721,0:34
24,0.11018746346235275,0.19385011494159698,0.7622053623199463,0.7429830865151223,0:34
25,0.1734929233789444,411635.4375,0.47138047218322754,0.3240923431209532,0:34
26,0.3430542051792145,0.40738704800605774,0.6111111044883728,0.6093376622212563,0:34
27,0.30718880891799927,27.0784969329834,0.7255892157554626,0.7243968380974842,0:34
28,0.2380690574645996,0.14932431280612946,0.7205387353897095,0.7143132693746755,0:34
29,0.1847575306892395,0.15437589585781097,0.7201178669929504,0.7179063201263729,0:34
30,0.1547132432460785,0.12519283592700958,0.7824074029922485,0.7791423214896194,0:34
31,0.13093556463718414,0.13344308733940125,0.7537878751754761,0.7482523650086887,0:34
32,0.15823408961296082,7.679111957550049,0.5294612646102905,0.34590129304730055,0:34
33,0.1446409523487091,0.1439962536096573,0.7222222089767456,0.7130751112488467,0:34
34,0.1444833129644394,0.13537679612636566,0.7007575631141663,0.667202816501372,0:34
35,0.12449707090854645,0.10359050333499908,0.8131313323974609,0.8109923108687839,0:34
36,0.11371146887540817,0.18012785911560059,0.7079124450683594,0.6746060470794004,0:34
37,0.10658944398164749,0.21076957881450653,0.7319023609161377,0.7041787986072499,0:34
38,0.11139752715826035,1.1360208988189697,0.804713785648346,0.7979668040861482,0:34
39,0.10141990333795547,0.09372886270284653,0.8455387353897095,0.8442022930207274,0:34
40,0.09568862617015839,0.0884333997964859,0.8417508602142334,0.8372153071437726,0:34
41,0.09642434120178223,0.09533531218767166,0.8421717286109924,0.8376048512664598,0:34
42,0.09201517701148987,0.1065279021859169,0.8362794518470764,0.8351255562850587,0:34
43,0.09696020185947418,0.09198004752397537,0.8556397557258606,0.8524128447695101,0:34
44,0.10815315693616867,0.10718352347612381,0.8063973188400269,0.7970726944100607,0:34
45,0.09929715096950531,0.08529546856880188,0.8611111044883728,0.8604314488996279,0:35
46,0.0946144163608551,0.08401301503181458,0.8615319728851318,0.8593692231610849,0:35
47,0.09109295159578323,0.08040354400873184,0.8653198480606079,0.8636562765675511,0:35
48,0.08977911621332169,0.0958452969789505,0.8518518805503845,0.84830623540818,0:34
49,0.08758112788200378,0.08695916086435318,0.877525269985199,0.8769494440082795,0:34
50,0.08662731200456619,0.13166993856430054,0.7159090638160706,0.6776540366775434,0:34
