epoch,train_loss,valid_loss,accuracy,macro_f1,time
-1,,,,,2024-07-04 16:59:28.699931
0,0.0950482115149498,0.08086518198251724,0.8758417367935181,0.875376528218557,0:16
1,0.07869496196508408,0.19063341617584229,0.7937710285186768,0.7890059026700362,0:12
2,0.07584819197654724,0.08176916837692261,0.874579131603241,0.8741310308170558,0:12
3,0.08152812719345093,0.6094922423362732,0.7857744097709656,0.7805254312450397,0:12
4,0.08389168232679367,0.10587354749441147,0.8446969985961914,0.8434573538337585,0:12
5,0.08282751590013504,0.07597291469573975,0.8766834735870361,0.8754544989156747,0:12
6,0.1340935081243515,39300.203125,0.5749158263206482,0.5322548552198118,0:12
7,0.128168523311615,0.1098928451538086,0.808922529220581,0.804317956204681,0:12
8,0.1118507906794548,0.10730855911970139,0.8312289714813232,0.8299504150559982,0:12
9,0.10105755925178528,0.08920333534479141,0.8526936173439026,0.8512325046063097,0:12
10,0.09316428750753403,0.0946609228849411,0.8455387353897095,0.8449315276004478,0:12
11,0.08984769135713577,0.0856931284070015,0.8623737096786499,0.8606228449816523,0:12
12,0.08720003813505173,0.147128626704216,0.8337541818618774,0.8325324051260355,0:12
13,0.0878334641456604,0.08958066254854202,0.8611111044883728,0.8602268787317855,0:12
14,0.08605470508337021,0.0889502465724945,0.8564814925193787,0.8560137500112307,0:12
15,0.6577911972999573,5015.4375,0.5437710285186768,0.3810113833960364,0:12
16,0.4015517830848694,0.15535464882850647,0.6851851940155029,0.6689773518910045,0:12
17,0.24246598780155182,0.11728116869926453,0.8152356743812561,0.8139732361659214,0:12
18,0.16892573237419128,0.21346808969974518,0.8211279511451721,0.8195602546683464,0:12
19,0.13400070369243622,0.12428450584411621,0.808080792427063,0.8052005543978376,0:12
20,0.11588682979345322,0.10111303627490997,0.8261784315109253,0.8255302650500645,0:12
21,0.10735989362001419,0.13430280983448029,0.819865345954895,0.8170135419032906,0:12
22,0.11208580434322357,0.1125093474984169,0.7937710285186768,0.792151411649463,0:12
23,0.10519509762525558,0.09697972238063812,0.8404881954193115,0.8395115980948129,0:12
24,0.09912198036909103,0.09300670027732849,0.8463804721832275,0.8457565839779554,0:12
